s/n,service_satisfaction,outcome_satisfaction,phone_easeoffindingnumber,phone_helpfulness,phone_knowledge,phone_quality,phone_manner,phone_queryspeed,phone_answeringspeed,phone_holdingtime,phone_menu,phone_voicemail,writing_easeoffindingaddress,writing_clarity,writing_design,writing_quality,writing_speedresponse,inperson_knowledge,inperson_helpfulness,inperson_qualityadvice,inperson_location,inperson_manner,inperson_welcome,inperson_bizhours,inperson_facilities,inperson_queueing,inperson_formdesign,inperson_speedquery,inperson_helpwithforms,inperson_privacy,email_clarity,email_easeoffindingaddress,email_qualityadvice,email_speedresponse,gender,age,occupation,marital_status,monthly_income,highest_education_level,number_of_dependents,tech_savviness,communication
1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Divorced,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
2,5,5,1,5,5,4,4,4,4,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,40-49,Health,Widowed,Below 5000,Secondary,1,3,Biweekly
3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Divorced,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Married,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Widowed,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
6,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,2,1,1,1,1,3,1,1,#NULL!,#NULL!,#NULL!,#NULL!,Female,Below20,Others,Divorced,10001-20000,Undergraduate,3,4,Quarterly
7,2,2,1,4,4,1,2,2,2,1,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,2,1,2,2,1,1,2,2,3,2,2,1,1,1,1,Female,30-39,Others,Divorced,10001-20000,Postgraduate,1,4,Biweekly
8,1,1,1,2,2,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,Female,20-29,Others,Widowed,Above 30000,Postgraduate,5,5,Bimonthly
9,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Married,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
10,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Widowed,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
11,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Widowed,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
12,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Married,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
13,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,20-29,B&F,Divorced,Below 5000,Postgraduate,3,5,Quarterly
14,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Married,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
15,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,Male,Below20,IT,Married,10001-20000,Undergraduate,1,4,Quarterly
16,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Single,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
17,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Married,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
18,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Widowed,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
19,5,5,1,1,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,4,1,1,1,2,5,5,5,1,6,5,5,#NULL!,#NULL!,#NULL!,#NULL!,Female,20-29,Sales,Single,10001-20000,Undergraduate,5,2,Bimonthly
20,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Divorced,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
21,2,2,1,5,5,1,2,2,2,1,5,1,1,1,1,1,1,1,1,1,6,1,1,1,1,2,1,6,2,2,#NULL!,#NULL!,#NULL!,#NULL!,Male,40-49,Others,Divorced,Below 5000,Postgraduate,4,4,Bimonthly
22,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Single,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
23,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,Above50,IT,Married,5001-10000,Postgraduate,2,5,Bimonthly
